Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,211.83,213.33,214.92,212.47,213.5,3380304.0,722138910.8,23198
2017-01-03,213.5,214.67,219.33,212.2,216.85,9472155.0,2053718744.0,48157
2017-01-04,216.85,216.6,220.3,213.95,218.48,8356224.0,1818102176.4,62989
2017-01-05,218.48,218.17,224.82,217.67,224.23,7441497.0,1654421749.9,78798
2017-01-06,224.23,223.67,227.0,220.52,221.62,4953354.0,1104788451.75,45002
2017-01-09,221.62,221.42,222.55,217.0,217.7,3520716.0,769175472.35,41576
2017-01-10,217.7,219.92,225.33,219.43,220.1,5889747.0,1309337651.45,43610
2017-01-11,220.1,220.67,222.0,218.23,220.3,5018715.0,1104117469.25,35032
2017-01-12,220.3,220.67,222.9,219.05,219.77,3147279.0,693557575.0,30895
2017-01-13,219.77,221.63,221.63,217.0,219.22,3556449.0,778114870.3,28288
2017-01-16,219.22,220.88,223.7,218.53,222.7,3933180.0,870166766.15,36202
2017-01-17,222.7,223.32,224.15,220.68,221.65,2637174.0,585911314.0,27380
2017-01-18,221.65,221.37,221.38,216.77,218.48,6318378.0,1382377460.25,67151
2017-01-19,218.48,219.03,225.57,218.03,224.63,5453529.0,1217925104.55,40420
2017-01-20,224.63,224.0,225.33,220.67,221.58,4089552.0,911315952.9,31393
2017-01-23,221.58,220.67,227.33,220.5,225.68,5101446.0,1148991224.1,46234
2017-01-24,225.68,225.67,229.4,224.57,227.47,5566491.0,1265312420.7,56006
2017-01-25,227.47,228.67,239.43,225.88,237.07,10893219.0,2550756862.2,50319
2017-01-27,237.07,237.67,242.27,230.43,234.92,5733753.0,1362419922.7,35603
2017-01-30,234.92,235.47,236.0,231.57,234.88,2928624.0,685478422.2,29913
2017-01-31,234.88,235.17,235.17,225.68,227.22,6823653.0,1565915363.0,48475
2017-02-01,227.22,227.35,232.4,224.4,230.92,5528706.0,1266874051.4,42719
2017-02-02,230.92,231.67,237.67,231.47,233.97,4782462.0,1123276303.95,47868
2017-02-03,233.97,233.67,233.93,229.6,232.87,4896420.0,1135886872.55,46088
2017-02-06,232.87,234.47,237.1,233.0,235.12,3632685.0,854658221.3,30484
2017-02-07,235.12,235.9,240.98,234.68,238.88,6836934.0,1632823855.0,59754
2017-02-08,238.88,239.57,242.33,238.03,240.17,7005252.0,1681826343.8,47212
2017-02-09,240.17,241.67,243.0,240.35,242.28,5934867.0,1434472191.8,34454
2017-02-10,242.28,244.33,244.33,237.33,238.52,7534047.0,1802940022.2,59056
2017-02-13,238.52,238.33,239.63,236.68,238.18,2897595.0,689117405.7,62671
2017-02-14,238.18,238.9,238.93,228.93,230.68,5446899.0,1264506519.25,65651
2017-02-15,230.68,230.67,233.27,222.67,224.9,9680544.0,2199133449.75,57391
2017-02-16,224.9,223.52,225.72,220.67,223.13,10280532.0,2288607922.85,75698
2017-02-17,223.13,223.53,227.82,221.68,226.33,5836983.0,1319614042.1,41730
2017-02-20,226.33,227.5,234.0,226.68,233.42,5841243.0,1350278318.05,34372
2017-02-21,233.42,235.0,239.0,233.7,234.65,4876872.0,1152219033.8,28868
2017-02-22,234.65,235.0,239.33,234.53,238.1,7402581.0,1757676619.2,75953
2017-02-23,238.1,238.33,240.55,235.55,239.22,9037395.0,2156801039.85,57676
2017-02-27,239.22,238.0,241.6,233.63,235.9,6559227.0,1555716261.25,54665
2017-02-28,235.9,230.0,231.63,222.67,223.35,15042585.0,3381742962.95,82883
2017-03-01,223.35,225.0,225.63,217.8,219.82,10965873.0,2411677762.45,61279
2017-03-02,219.82,220.65,221.8,210.28,211.72,17818512.0,3843546320.7,59188
2017-03-03,211.72,211.3,211.8,205.08,210.93,23674239.0,4944306261.4,85967
2017-03-06,210.93,212.43,214.47,210.8,212.52,9895818.0,2102850116.7,80185
2017-03-07,212.52,213.67,216.23,212.93,215.3,6908280.0,1486221465.05,38831
2017-03-08,215.3,215.17,216.78,210.03,213.0,6447222.0,1370752722.15,51024
2017-03-09,213.0,214.72,214.8,210.15,210.67,6311064.0,1337434253.7,49031
2017-03-10,210.67,211.97,212.32,206.7,207.78,7306419.0,1523260361.15,65303
2017-03-14,207.78,212.0,213.67,209.67,212.23,9366018.0,1987332719.25,73175
2017-03-15,212.23,211.75,214.62,210.95,212.17,4512816.0,959888848.15,30421
2017-03-16,212.17,213.0,216.47,212.35,215.92,5624442.0,1207038513.25,48993
2017-03-17,215.92,216.67,216.67,212.68,214.03,6703974.0,1434073734.4,56873
