File,Symbol,Type,Date,Details
CESC.csv,CESC,Huge Date Gap,2020-05-28 to 2024-11-29,Gap of 1646 days
JSWENERGY.csv,JSWENERGY,Huge Date Gap,2018-01-25 to 2024-11-29,Gap of 2500 days
NHPC.csv,NHPC,Huge Date Gap,2019-06-27 to 2024-11-29,Gap of 1982 days
RELINFRA.csv,RELINFRA,Price Anomaly (Split/Unadjusted),2019-02-06,"Ratio: 1.47 (Prev: 228.4, Curr: 155.15)"
RPOWER.csv,RPOWER,Price Anomaly (Split/Unadjusted),2019-02-04,"Ratio: 1.54 (Prev: 26.45, Curr: 17.15)"
RPOWER.csv,RPOWER,Price Anomaly (Split/Unadjusted),2019-02-05,"Ratio: 1.43 (Prev: 17.15, Curr: 12.0)"
TORNTPOWER.csv,TORNTPOWER,Huge Date Gap,2023-03-29 to 2025-01-31,Gap of 674 days
IDEA.csv,IDEA,Price Anomaly (Split/Unadjusted),2020-03-18,"Ratio: 1.53 (Prev: 4.9, Curr: 3.2)"
TATACOMM.csv,TATACOMM,Huge Date Gap,2019-06-27 to 2021-12-31,Gap of 918 days
DHFL.csv,DHFL,Price Anomaly (Split/Unadjusted),2018-09-21,"Ratio: 1.74 (Prev: 611.95, Curr: 350.95)"
DHFL.csv,DHFL,Price Anomaly (Split/Unadjusted),2019-07-15,"Ratio: 1.58 (Prev: 65.65, Curr: 41.6)"
DISHTV.csv,DISHTV,Price Anomaly (Split/Unadjusted),2019-01-25,"Ratio: 1.49 (Prev: 33.7, Curr: 22.65)"
IDFC.csv,IDFC,Huge Date Gap,2019-06-27 to 2021-12-31,Gap of 918 days
INFIBEAM.csv,INFIBEAM,Price Anomaly (Split/Unadjusted),2017-08-31,"Ratio: 9.78 (Prev: 335.08, Curr: 34.25)"
INFIBEAM.csv,INFIBEAM,Price Anomaly (Split/Unadjusted),2018-09-28,"Ratio: 3.48 (Prev: 46.41, Curr: 13.33)"
JETAIRWAYS.csv,JETAIRWAYS,Price Anomaly (Split/Unadjusted),2019-04-18,"Ratio: 1.47 (Prev: 223.25, Curr: 151.55)"
JETAIRWAYS.csv,JETAIRWAYS,Price Anomaly (Split/Unadjusted),2019-06-17,"Ratio: 1.51 (Prev: 66.95, Curr: 44.4)"
JETAIRWAYS.csv,JETAIRWAYS,Price Anomaly (Split/Unadjusted),2019-06-18,"Ratio: 1.66 (Prev: 44.4, Curr: 26.7)"
RCOM.csv,RCOM,Price Anomaly (Split/Unadjusted),2019-02-04,"Ratio: 1.53 (Prev: 11.35, Curr: 7.4)"
STAR.csv,STAR,Huge Date Gap,2019-10-31 to 2021-07-30,Gap of 638 days
