Symbol,Industry,Series
CARBORUNIV,Capital Goods,EQ
CASTROLIND,Oil Gas & Consumable Fuels,EQ
CEATLTD,Automobile and Auto Components,EQ
CENTRALBK,Financial Services,EQ
CDSL,Financial Services,EQ
CENTURYPLY,Consumer Durables,EQ
CERA,Consumer Durables,EQ
CHALET,Consumer Services,EQ
CHAMBLFERT,Chemicals,EQ
CHENNPETRO,Oil Gas & Consumable Fuels,EQ
CHOICEIN,Financial Services,EQ
CHOLAHLDNG,Financial Services,EQ
CHOLAFIN,Financial Services,EQ
CIPLA,Healthcare,EQ
CUB,Financial Services,EQ
CLEAN,Chemicals,EQ
COALINDIA,Oil Gas & Consumable Fuels,EQ
COCHINSHIP,Capital Goods,EQ
COFORGE,Information Technology,EQ
COHANCE,Healthcare,EQ
COLPAL,Fast Moving Consumer Goods,EQ
CAMS,Financial Services,EQ
CONCORDBIO,Healthcare,EQ
CONCOR,Services,EQ
COROMANDEL,Chemicals,EQ
CRAFTSMAN,Automobile and Auto Components,EQ
CREDITACC,Financial Services,EQ
CROMPTON,Consumer Durables,EQ
CUMMINSIND,Capital Goods,EQ
CYIENT,Information Technology,EQ
DCMSHRIRAM,Diversified,EQ
DLF,Realty,EQ
DOMS,Fast Moving Consumer Goods,EQ
DABUR,Fast Moving Consumer Goods,EQ
DALBHARAT,Construction Materials,EQ
DATAPATTNS,Capital Goods,EQ
DEEPAKFERT,Chemicals,EQ
DEEPAKNTR,Chemicals,EQ
DELHIVERY,Services,EQ
DEVYANI,Consumer Services,EQ
DIVISLAB,Healthcare,EQ
DIXON,Consumer Durables,EQ
AGARWALEYE,Healthcare,EQ
LALPATHLAB,Healthcare,EQ
DRREDDY,Healthcare,EQ
DUMMYHDLVR,Fast Moving Consumer Goods,EQ
EIDPARRY,Fast Moving Consumer Goods,EQ
EIHOTEL,Consumer Services,EQ
EICHERMOT,Automobile and Auto Components,EQ
ELECON,Capital Goods,EQ
ELGIEQUIP,Capital Goods,EQ
EMAMILTD,Fast Moving Consumer Goods,EQ
EMCURE,Healthcare,EQ
ENDURANCE,Automobile and Auto Components,EQ
ENGINERSIN,Construction,EQ
ERIS,Healthcare,EQ
ESCORTS,Capital Goods,EQ
ETERNAL,Consumer Services,EQ
EXIDEIND,Automobile and Auto Components,EQ
NYKAA,Consumer Services,EQ
FEDERALBNK,Financial Services,EQ
FACT,Chemicals,EQ
FINCABLES,Capital Goods,EQ
FINPIPE,Capital Goods,EQ
FSL,Services,EQ
FIVESTAR,Financial Services,EQ
FORCEMOT,Automobile and Auto Components,EQ
FORTIS,Healthcare,EQ
GAIL,Oil Gas & Consumable Fuels,EQ
GVT&D,Capital Goods,EQ
GMRAIRPORT,Services,EQ
GRSE,Capital Goods,EQ
GICRE,Financial Services,EQ
GILLETTE,Fast Moving Consumer Goods,EQ
GLAND,Healthcare,EQ
GLAXO,Healthcare,EQ
GLENMARK,Healthcare,EQ
MEDANTA,Healthcare,EQ
GODIGIT,Financial Services,EQ
GPIL,Capital Goods,EQ
GODFRYPHLP,Fast Moving Consumer Goods,EQ
GODREJAGRO,Fast Moving Consumer Goods,EQ
GODREJCP,Fast Moving Consumer Goods,EQ
GODREJIND,Diversified,EQ
GODREJPROP,Realty,EQ
GRANULES,Healthcare,EQ
GRAPHITE,Capital Goods,EQ
GRASIM,Construction Materials,EQ
GRAVITA,Metals & Mining,EQ
GESHIP,Services,EQ
FLUOROCHEM,Chemicals,EQ
GUJGASLTD,Oil Gas & Consumable Fuels,EQ
GMDCLTD,Metals & Mining,EQ
GSPL,Oil Gas & Consumable Fuels,EQ
HEG,Capital Goods,EQ
HBLENGINE,Capital Goods,EQ
HCLTECH,Information Technology,EQ
HDFCAMC,Financial Services,EQ
HDFCBANK,Financial Services,EQ
HDFCLIFE,Financial Services,EQ
HFCL,Telecommunication,EQ
HAPPSTMNDS,Information Technology,EQ
HAVELLS,Consumer Durables,EQ
HEROMOTOCO,Automobile and Auto Components,EQ
HEXT,Information Technology,EQ
HSCL,Chemicals,EQ
HINDALCO,Metals & Mining,EQ
HAL,Capital Goods,EQ
HINDCOPPER,Metals & Mining,EQ
HINDPETRO,Oil Gas & Consumable Fuels,EQ
HINDUNILVR,Fast Moving Consumer Goods,EQ
HINDZINC,Metals & Mining,EQ
POWERINDIA,Capital Goods,EQ
HOMEFIRST,Financial Services,EQ
HONASA,Fast Moving Consumer Goods,EQ
HONAUT,Capital Goods,EQ
HUDCO,Financial Services,EQ
HYUNDAI,Automobile and Auto Components,EQ
ICICIBANK,Financial Services,EQ
ICICIGI,Financial Services,EQ
ICICIPRULI,Financial Services,EQ
IDBI,Financial Services,EQ
IDFCFIRSTB,Financial Services,EQ
IFCI,Financial Services,EQ
IIFL,Financial Services,EQ
INOXINDIA,Capital Goods,EQ
IRB,Construction,EQ
IRCON,Construction,EQ
ITCHOTELS,Consumer Services,EQ
ITC,Fast Moving Consumer Goods,EQ
ITI,Telecommunication,EQ
INDGN,Healthcare,EQ
INDIACEM,Construction Materials,EQ
INDIAMART,Consumer Services,EQ
INDIANB,Financial Services,EQ
IEX,Financial Services,EQ
INDHOTEL,Consumer Services,EQ
IOC,Oil Gas & Consumable Fuels,EQ
IOB,Financial Services,EQ
IRCTC,Consumer Services,EQ
IRFC,Financial Services,EQ
IREDA,Financial Services,EQ
IGL,Oil Gas & Consumable Fuels,EQ
INDUSTOWER,Telecommunication,EQ
INDUSINDBK,Financial Services,EQ
NAUKRI,Consumer Services,EQ
INFY,Information Technology,EQ
INOXWIND,Capital Goods,EQ
INTELLECT,Information Technology,EQ
INDIGO,Services,EQ
IGIL,Services,EQ
IKS,Information Technology,EQ
IPCALAB,Healthcare,EQ
JBCHEPHARM,Healthcare,EQ
JKCEMENT,Construction Materials,EQ
JBMA,Automobile and Auto Components,EQ
JKTYRE,Automobile and Auto Components,EQ
JMFINANCIL,Financial Services,EQ
JSWENERGY,Power,EQ
JSWINFRA,Services,EQ
JSWSTEEL,Metals & Mining,EQ
JPPOWER,Power,EQ
J&KBANK,Financial Services,EQ
JINDALSAW,Capital Goods,EQ
