Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,           876339,         26290170,         159000.85,000000011845845
BANKNIFTY ,          1098658,         32959740,         199062.90,000000015247570
FINNIFTY  ,             3898,           233880,            659.44,000000000186480
FINNIFTY  ,             4015,           240900,            671.51,000000000100380
FINNIFTY  ,             1947,           116820,            327.58,000000000056580
FINNIFTY  ,             4732,           283920,            798.13,000000000094260
FINNIFTY  ,             6205,           372300,           1051.88,000000000189300
FINNIFTY  ,             3100,           186000,            522.94,000000000088440
FINNIFTY  ,             3368,           202080,            565.60,000000000157260
MIDCPNIFTY,            14314,          1717680,           2435.76,000000000285240
MIDCPNIFTY,            29698,          3563760,           5041.72,000000001106640
MIDCPNIFTY,            10157,          1218840,           1723.80,000000000238560
MIDCPNIFTY,           257520,         30902400,          43499.17,000000013097880
NIFTYNXT50,              207,             5175,             36.91,000000000001000
NIFTYNXT50,              137,             3425,             24.28,000000000002700
NIFTYNXT50,              022,              550,              3.88,000000000001225
NIFTY     ,          6698472,        435400680,        1141193.18,000000048434565
NIFTY     ,          7219815,        469287975,        1234598.60,000000060111695
NIFTY     ,          8119905,        527793825,        1382855.22,000000057173235
NIFTY     ,          7663171,        498106115,        1304752.22,000000051032350
NIFTY     ,         13466300,        875309500,        2294926.67,000000061388140
NIFTY     ,         12333526,        801679190,        2105584.50,000000060260525
NIFTY     ,         11701910,        760624150,        1997904.60,000000063086270
NIFTYNXT50,              060,             1500,             10.63,000000000002225
