Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            29071,           872130,           5260.72,000000001459710
FINNIFTY  ,              245,            14700,             41.16,000000000030480
MIDCPNIFTY,             5455,           654600,            917.13,000000002320320
NIFTYNXT50,              165,             4125,             29.15,000000000022350
NIFTY     ,            87196,          5667740,          14971.97,000000015336295
