Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           122132,          21220.13
Stock Futures  ,          1313528,          90242.05
Index Options  ,        173876083,       29767917.06
Stock Options  ,          7011536,         494578.31
Vol Futures    ,              000,              0.00
F&O Total      ,        182323279,       30373957.55
