Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,           836729,         25101870,         152398.63,000000011706335
BANKNIFTY ,          1055506,         31665180,         191801.36,000000014939555
FINNIFTY  ,            10454,           627240,           1773.98,000000000198180
FINNIFTY  ,             5651,           339060,            956.48,000000000094440
FINNIFTY  ,             2685,           161100,            454.72,000000000054900
FINNIFTY  ,             4865,           291900,            825.17,000000000095580
FINNIFTY  ,            14659,           879540,           2494.59,000000000219360
FINNIFTY  ,             4669,           280140,            788.27,000000000087060
FINNIFTY  ,             6554,           393240,           1109.02,000000000182580
MIDCPNIFTY,             8769,          1052280,           1487.77,000000000230160
MIDCPNIFTY,            19130,          2295600,           3238.68,000000000802800
MIDCPNIFTY,            10313,          1237560,           1750.51,000000000224880
MIDCPNIFTY,           152863,         18343560,          25809.47,000000011221080
NIFTYNXT50,              153,             3825,             27.31,000000000001050
NIFTYNXT50,              074,             1850,             13.18,000000000001800
NIFTYNXT50,              015,              375,              2.64,000000000002000
NIFTY     ,         42117988,       2737669220,        7191426.09,000000078029205
NIFTY     ,         29999320,       1949955800,        5132079.92,000000091483960
NIFTY     ,         21617667,       1405148355,        3688356.77,000000087614210
NIFTY     ,         24401523,       1586098995,        4149230.24,000000074588920
NIFTY     ,         47574941,       3092371165,        8089555.45,000000083576480
NIFTY     ,         88015811,       5721027715,       14980563.13,000000105909890
NIFTY     ,         82384815,       5355012975,       14043265.37,000000104533370
NIFTYNXT50,              197,             4925,             34.93,000000000001900
