Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            28900,           867000,           5202.18,000000001311360
FINNIFTY  ,              498,            29880,             83.08,000000000036420
MIDCPNIFTY,            14788,          1774560,           2469.44,000000002810160
NIFTYNXT50,              613,            15325,            107.05,000000000020725
NIFTY     ,           118330,          7691450,          20065.95,000000018191355
