INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,SOLARINDS ,27/01/2026,00012880.00,00013545.00,00012854.00,00013391.00,000000001054750,     3560988100.00,           268650,             5373,             4639
FUTSTK    ,SOLARINDS ,24/02/2026,00013021.00,00013609.00,00012930.00,00013465.00,000000000066600,      279071600.00,            21000,              420,              389
FUTSTK    ,SOLARINDS ,30/03/2026,00013102.00,00013668.00,00013077.00,00013552.00,000000000012200,       60004100.00,             4500,              090,              083
FUTSTK    ,TCS       ,27/01/2026,00003254.80,00003292.00,00003236.70,00003286.90,000000018777325,     9546258855.00,          2911300,            16636,            13502
FUTSTK    ,TCS       ,24/02/2026,00003261.90,00003310.00,00003260.40,00003305.70,000000000584150,      451733205.00,           137025,              783,              672
FUTSTK    ,TCS       ,30/03/2026,00003288.00,00003331.10,00003288.00,00003328.30,000000000064225,      114434757.50,            34475,              197,              178
FUTIDX    ,NIFTYNXT50,27/01/2026,00070900.00,00071035.20,00070600.00,00070906.00,000000000019825,      302857770.00,             4275,              171,              135
FUTIDX    ,NIFTYNXT50,24/02/2026,00071247.60,00071394.80,00071143.40,00071209.00,000000000001800,       64097320.00,              900,              036,              024
FUTSTK    ,ABB       ,27/01/2026,00005225.00,00005330.00,00005197.50,00005322.00,000000002136625,     2167395437.50,           410250,             3282,             2766
FUTSTK    ,ABB       ,24/02/2026,00005243.50,00005349.00,00005219.00,00005337.50,000000000079750,      161984250.00,            30625,              245,              218
FUTSTK    ,ABB       ,30/03/2026,00005283.00,00005367.50,00005258.00,00005361.00,000000000005375,       13947937.50,             2625,              021,              021
FUTSTK    ,ANGELONE  ,27/01/2026,00002400.50,00002480.00,00002398.80,00002469.30,000000003766000,     2594731000.00,          1057750,             4231,             3638
FUTSTK    ,ANGELONE  ,24/02/2026,00002400.20,00002460.00,00002400.20,00002453.00,000000000223750,      183255825.00,            75250,              301,              264
FUTSTK    ,ANGELONE  ,30/03/2026,00002419.90,00002441.00,00002392.00,00002439.60,000000000015250,       21770400.00,             9000,              036,              034
FUTSTK    ,BAJAJ-AUTO,27/01/2026,00009713.00,00009824.00,00009623.00,00009802.50,000000003567000,     4587559087.50,           470925,             6279,             5437
FUTSTK    ,BAJAJ-AUTO,24/02/2026,00009711.50,00009855.50,00009663.00,00009834.50,000000000071175,      468763425.00,            47925,              639,              533
FUTSTK    ,BAJAJ-AUTO,30/03/2026,00009749.00,00009894.50,00009700.00,00009882.00,000000000009600,       41889975.00,             4275,              057,              048
FUTSTK    ,BOSCHLTD  ,27/01/2026,00038855.00,00039420.00,00038250.00,00039340.00,000000000192925,     2403357875.00,            61725,             2469,             2182
FUTSTK    ,BOSCHLTD  ,24/02/2026,00039045.00,00039450.00,00038350.00,00039410.00,000000000004025,       95451500.00,             2450,              098,              096
FUTSTK    ,BOSCHLTD  ,30/03/2026,00039125.00,00039530.00,00039125.00,00039530.00,000000000000550,        3942875.00,              100,              004,              004
FUTSTK    ,BSE       ,27/01/2026,00002710.00,00002768.00,00002693.50,00002757.30,000000011788500,     7594193737.50,          2760000,             7360,             6353
FUTSTK    ,BSE       ,24/02/2026,00002711.00,00002780.10,00002711.00,00002773.20,000000000530625,      574273800.00,           207375,              553,              467
FUTSTK    ,BSE       ,30/03/2026,00002731.20,00002800.00,00002731.20,00002789.20,000000000038625,      214853925.00,            77250,              206,              160
