Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1039078,         31172340,         189315.15,000000011147345
BANKNIFTY ,          1260269,         37808070,         229053.74,000000014125270
FINNIFTY  ,             6951,           417060,           1181.31,000000000144660
FINNIFTY  ,             2072,           124320,            348.41,000000000079260
FINNIFTY  ,             1909,           114540,            322.68,000000000044100
FINNIFTY  ,             3757,           225420,            635.24,000000000069960
FINNIFTY  ,             2368,           142080,            399.37,000000000080700
FINNIFTY  ,             3770,           226200,            637.63,000000000065940
FINNIFTY  ,             3511,           210660,            598.58,000000000106560
MIDCPNIFTY,             8895,          1067400,           1508.31,000000000200520
MIDCPNIFTY,            21696,          2603520,           3670.02,000000000740040
MIDCPNIFTY,            11192,          1343040,           1898.94,000000000195600
MIDCPNIFTY,           224499,         26939880,          37858.90,000000010782600
NIFTYNXT50,              085,             2125,             15.18,000000000000900
NIFTYNXT50,              032,              800,              5.61,000000000001325
NIFTYNXT50,              162,             4050,             28.40,000000000001250
NIFTY     ,         25165673,       1635768745,        4301322.09,000000074445720
NIFTY     ,         34820995,       2263364675,        5963955.15,000000095464310
NIFTY     ,         27962808,       1817582520,        4786614.67,000000090425790
NIFTY     ,         22479819,       1461188235,        3845582.66,000000077414415
NIFTY     ,         17806842,       1157444730,        3044503.92,000000079513675
NIFTY     ,         18842671,       1224773615,        3225777.00,000000076027785
NIFTY     ,         24206784,       1573440960,        4132640.74,000000077001755
NIFTYNXT50,              245,             6125,             43.37,000000000001725
