Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1202397,         36071910,         217723.80,000000011831990
BANKNIFTY ,          1490375,         44711250,         269343.14,000000015444390
FINNIFTY  ,             4844,           290640,            816.68,000000000165600
FINNIFTY  ,             4512,           270720,            753.36,000000000093000
FINNIFTY  ,             3306,           198360,            551.31,000000000064200
FINNIFTY  ,             5390,           323400,            907.00,000000000093420
FINNIFTY  ,             5838,           350280,            983.48,000000000204540
FINNIFTY  ,             3441,           206460,            579.51,000000000078900
FINNIFTY  ,             3157,           189420,            531.74,000000000151020
MIDCPNIFTY,            18645,          2237400,           3150.13,000000000325080
MIDCPNIFTY,            45936,          5512320,           7750.67,000000001110960
MIDCPNIFTY,            18013,          2161560,           3043.99,000000000299400
MIDCPNIFTY,           378454,         45414480,          63704.97,000000013470840
NIFTYNXT50,              120,             3000,             21.37,000000000001225
NIFTYNXT50,              232,             5800,             40.79,000000000003175
NIFTYNXT50,              236,             5900,             41.51,000000000001875
NIFTY     ,         11412168,        741790920,        1936290.60,000000066491610
NIFTY     ,         11140471,        724130615,        1897002.09,000000079670050
NIFTY     ,         13297156,        864315140,        2260325.94,000000078981450
NIFTY     ,         10860210,        705913650,        1841676.59,000000068554955
NIFTY     ,         13097161,        851315465,        2226124.09,000000080453030
NIFTY     ,         10181479,        661796135,        1732262.86,000000069826160
NIFTY     ,         10230279,        664968135,        1736510.53,000000079616590
NIFTYNXT50,              192,             4800,             33.95,000000000001975
