INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,27/01/2026,00060110.00,00060252.80,00059755.00,00059885.20,000000001175700,    48129274110.00,           802560,            26752,            18978
FUTIDX    ,BANKNIFTY ,24/02/2026,00060401.00,00060585.20,00060120.00,00060241.40,000000000105360,     2824295208.00,            46830,             1561,             1207
FUTIDX    ,BANKNIFTY ,30/03/2026,00060708.20,00060955.00,00060505.00,00060639.40,000000000030300,     1068240894.00,            17610,              587,              527
FUTIDX    ,MIDCPNIFTY,27/01/2026,00014127.90,00014128.40,00013780.00,00013795.85,000000002720880,    23684403846.00,          1702200,            14185,            12133
FUTIDX    ,MIDCPNIFTY,24/02/2026,00014174.40,00014174.40,00013846.55,00013863.95,000000000078000,      898959726.00,            64440,              537,              492
FUTIDX    ,MIDCPNIFTY,30/03/2026,00014190.20,00014190.20,00013904.70,00013920.65,000000000011280,      111073860.00,             7920,              066,              063
FUTSTK    ,AMBER     ,27/01/2026,00006694.50,00006727.00,00006516.00,00006532.00,000000000870900,     1110184300.00,           168900,             1689,             1537
FUTSTK    ,AMBER     ,24/02/2026,00006606.00,00006606.00,00006401.00,00006413.50,000000000061800,      110704700.00,            17100,              171,              161
FUTSTK    ,AMBER     ,30/03/2026,00006451.00,00006451.00,00006374.00,00006375.00,000000000006000,        7672000.00,             1200,              012,              012
FUTSTK    ,DIXON     ,27/01/2026,00011777.00,00012090.00,00011740.00,00012015.00,000000002745250,    12518565300.00,          1048400,            20968,            16587
FUTSTK    ,DIXON     ,24/02/2026,00011881.00,00012150.00,00011815.00,00012081.00,000000000203850,      794762200.00,            66150,             1323,             1210
FUTSTK    ,DIXON     ,30/03/2026,00011950.00,00012212.00,00011911.00,00012163.00,000000000026800,      120881500.00,            10000,              200,              183
FUTSTK    ,HAL       ,27/01/2026,00004545.10,00004592.50,00004484.10,00004497.40,000000008822550,     7288022295.00,          1604700,            10698,             8507
FUTSTK    ,HAL       ,24/02/2026,00004558.00,00004601.00,00004498.90,00004507.80,000000000891750,     1025075700.00,           225150,             1501,             1348
FUTSTK    ,HAL       ,30/03/2026,00004599.50,00004619.00,00004521.80,00004526.20,000000000058200,      146075325.00,            31950,              213,              204
FUTSTK    ,HEROMOTOCO,27/01/2026,00005978.50,00006006.00,00005854.50,00005880.50,000000005603700,     4987020900.00,           843600,             5624,             5049
FUTSTK    ,HEROMOTOCO,24/02/2026,00005969.00,00005970.00,00005831.50,00005859.00,000000000099750,      181896450.00,            30900,              206,              204
FUTSTK    ,HEROMOTOCO,30/03/2026,00005981.00,00005981.00,00005886.00,00005892.50,000000000014850,       15098700.00,             2550,              017,              016
FUTSTK    ,KEI       ,27/01/2026,00004594.00,00004594.00,00004412.10,00004429.00,000000000956025,     1573276110.00,           351225,             2007,             1694
FUTSTK    ,KEI       ,24/02/2026,00004535.00,00004536.10,00004433.70,00004445.00,000000000009100,       22798125.00,             5075,              029,              029
FUTSTK    ,KEI       ,30/03/2026,00004511.30,00004511.30,00004509.00,00004509.00,000000000000525,        2368030.00,              525,              003,              003
FUTSTK    ,MCX       ,27/01/2026,00002310.00,00002344.00,00002232.00,00002239.00,000000013607500,    10704509375.00,          4682500,             7492,             6763
FUTSTK    ,MCX       ,24/02/2026,00002320.00,00002355.00,00002246.00,00002252.00,000000000519375,      703610000.00,           306250,              490,              471
FUTSTK    ,MCX       ,30/03/2026,00002322.00,00002364.00,00002265.00,00002268.00,000000000109375,      223195625.00,            96250,              154,              148
FUTSTK    ,SOLARINDS ,27/01/2026,00013444.00,00013760.00,00013421.00,00013509.00,000000001068550,     4227617000.00,           311750,             6235,             5327
FUTSTK    ,SOLARINDS ,24/02/2026,00013534.00,00013833.00,00013508.00,00013579.00,000000000069050,      421375900.00,            30900,              618,              535
FUTSTK    ,SOLARINDS ,30/03/2026,00013651.00,00013910.00,00013606.00,00013686.00,000000000016350,      137578150.00,            10000,              200,              172
FUTSTK    ,TCS       ,27/01/2026,00003280.00,00003280.00,00003166.20,00003182.70,000000018399325,    23988835447.50,          7493325,            42819,            34818
FUTSTK    ,TCS       ,24/02/2026,00003295.00,00003295.00,00003185.50,00003200.80,000000000868700,     1758543815.00,           546700,             3124,             2910
FUTSTK    ,TCS       ,30/03/2026,00003300.00,00003303.10,00003205.50,00003219.00,000000000159950,      599070167.50,           185325,             1059,             1006
FUTIDX    ,NIFTYNXT50,27/01/2026,00070600.20,00070800.00,00069220.00,00069342.00,000000000018900,      982881990.00,            14075,              563,              489
FUTIDX    ,NIFTYNXT50,24/02/2026,00070780.20,00070780.20,00069622.40,00069773.00,000000000001825,       87619780.00,             1250,              050,              046
FUTSTK    ,ABB       ,27/01/2026,00005330.00,00005382.00,00004995.00,00005030.00,000000002308875,     6966851750.00,          1352625,            10821,             9160
FUTSTK    ,ABB       ,24/02/2026,00005352.50,00005393.50,00005010.00,00005042.00,000000000110625,      629781687.50,           122125,              977,              806
FUTSTK    ,ABB       ,30/03/2026,00005400.00,00005400.00,00005045.00,00005065.50,000000000010250,       36146250.00,             7000,              056,              053
FUTSTK    ,ANGELONE  ,27/01/2026,00002509.70,00002509.70,00002386.70,00002402.20,000000003855500,     4236164275.00,          1739000,             6956,             6007
FUTSTK    ,ANGELONE  ,24/02/2026,00002482.30,00002482.30,00002360.10,00002372.60,000000000259500,      459304400.00,           191000,              764,              703
FUTSTK    ,ANGELONE  ,30/03/2026,00002451.00,00002451.00,00002355.00,00002367.40,000000000024500,       43804000.00,            18250,              073,              071
FUTSTK    ,BAJAJ-AUTO,27/01/2026,00009800.00,00009895.50,00009734.00,00009766.50,000000003566625,     5685871312.50,           579525,             7727,             6724
FUTSTK    ,BAJAJ-AUTO,24/02/2026,00009825.00,00009924.50,00009773.00,00009801.00,000000000084750,      516004500.00,            52425,              699,              621
FUTSTK    ,BAJAJ-AUTO,30/03/2026,00009890.00,00009950.00,00009813.00,00009838.00,000000000011025,       52568025.00,             5325,              071,              070
