INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,27/01/2026,00060201.00,00060460.00,00060142.20,00060312.80,000000001437390,    31846902096.00,           527790,            17593,            13099
FUTIDX    ,BANKNIFTY ,24/02/2026,00060502.60,00060796.20,00060502.60,00060636.60,000000000108210,     2120335932.00,            34950,             1165,              939
FUTIDX    ,BANKNIFTY ,30/03/2026,00060877.60,00061149.80,00060877.60,00061024.80,000000000022050,      479784756.00,             7860,              262,              222
FUTIDX    ,MIDCPNIFTY,27/01/2026,00014031.05,00014075.50,00013949.80,00014007.65,000000002275800,     8464718676.00,           604080,             5034,             3895
FUTIDX    ,MIDCPNIFTY,24/02/2026,00014074.00,00014139.00,00014015.00,00014068.20,000000000063240,      336169884.00,            23880,              199,              156
FUTIDX    ,MIDCPNIFTY,30/03/2026,00014162.80,00014185.00,00014071.25,00014125.30,000000000008160,       33919452.00,             2400,              020,              020
FUTSTK    ,AMBER     ,27/01/2026,00006739.00,00006740.00,00006621.50,00006713.00,000000000879100,     1441730050.00,           215900,             2159,             1924
FUTSTK    ,AMBER     ,24/02/2026,00006625.00,00006625.00,00006525.00,00006598.00,000000000050200,      117574250.00,            17900,              179,              163
FUTSTK    ,AMBER     ,30/03/2026,00006559.00,00006561.50,00006504.00,00006528.00,000000000004900,        7193100.00,             1100,              011,              011
FUTSTK    ,DIXON     ,27/01/2026,00012105.00,00012136.00,00011678.00,00011739.00,000000002867500,    10253312000.00,           864100,            17282,            13034
FUTSTK    ,DIXON     ,24/02/2026,00012121.00,00012178.00,00011755.00,00011817.00,000000000194000,      931019850.00,            77950,             1559,             1435
FUTSTK    ,DIXON     ,30/03/2026,00012301.00,00012301.00,00011835.00,00011879.00,000000000022550,      244773150.00,            20350,              407,              374
