Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,            96540,          16695.49
Stock Futures  ,          1412211,          96616.62
Index Options  ,        338245351,       57659443.67
Stock Options  ,          7642892,         542202.76
Vol Futures    ,              000,              0.00
F&O Total      ,        347396994,       58314958.54
