INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,27/01/2026,00060430.00,00060538.40,00060016.00,00060173.00,000000001337340,    48110358732.00,           798060,            26602,            19013
FUTIDX    ,BANKNIFTY ,24/02/2026,00060749.80,00060860.00,00060360.00,00060502.60,000000000102630,     3797803620.00,            62610,             2087,             1369
FUTIDX    ,BANKNIFTY ,30/03/2026,00061076.00,00061225.40,00060740.00,00060877.60,000000000019740,      699068436.00,            11460,              382,              327
FUTIDX    ,MIDCPNIFTY,27/01/2026,00014080.00,00014098.95,00013910.35,00014011.05,000000002251080,     8595141480.00,           613680,             5114,             4194
FUTIDX    ,MIDCPNIFTY,24/02/2026,00014126.25,00014149.00,00013983.00,00014074.00,000000000061560,      535463448.00,            38040,              317,              300
FUTIDX    ,MIDCPNIFTY,30/03/2026,00014176.00,00014202.95,00014055.00,00014130.35,000000000007680,       40688040.00,             2880,              024,              024
FUTSTK    ,AMBER     ,27/01/2026,00006510.00,00006839.50,00006510.00,00006727.50,000000000867100,     2994401050.00,           446400,             4464,             3767
FUTSTK    ,AMBER     ,24/02/2026,00006491.50,00006735.00,00006442.50,00006625.00,000000000048300,      245624450.00,            37200,              372,              314
FUTSTK    ,AMBER     ,30/03/2026,00006525.00,00006632.00,00006497.00,00006565.00,000000000003800,       28301400.00,             4300,              043,              043
FUTSTK    ,DIXON     ,27/01/2026,00012270.00,00012325.00,00012050.00,00012102.00,000000002737900,     7486472700.00,           613650,            12273,             9972
FUTSTK    ,DIXON     ,24/02/2026,00012343.00,00012400.00,00012125.00,00012178.00,000000000169750,      586633150.00,            47850,              957,              856
FUTSTK    ,DIXON     ,30/03/2026,00012408.00,00012462.00,00012205.00,00012248.00,000000000014700,      145514250.00,            11800,              236,              219
FUTSTK    ,HAL       ,27/01/2026,00004441.00,00004569.90,00004440.20,00004550.30,000000008886450,     8642869200.00,          1906050,            12707,            10351
FUTSTK    ,HAL       ,24/02/2026,00004468.20,00004579.00,00004468.20,00004559.10,000000000799350,     1339911195.00,           294900,             1966,             1643
FUTSTK    ,HAL       ,30/03/2026,00004509.30,00004596.40,00004500.10,00004578.50,000000000032100,      154784205.00,            33900,              226,              183
