Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           163129,          27927.70
Stock Futures  ,          1506368,         103608.43
Index Options  ,         83404012,       14200170.10
Stock Options  ,          7851503,         551718.18
Vol Futures    ,              000,              0.00
F&O Total      ,         92925012,       14883424.41
