MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     26178.70,     26143.10,     26187.15,     26067.90,     26140.75,1064631830849.45,4462753877,Y, ,31970919,     26373.20,     21743.65
Y, , ,NIFTY50 EQL Wgt,     33734.55,     33712.65,     33786.25,     33588.65,     33694.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     34481.75,     34482.80,     34549.50,     34357.75,     34485.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     21358.15,     21346.35,     21441.30,     21308.65,     21373.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     50958.70,     50979.15,     51146.50,     50775.65,     51064.45,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     22510.60,     22518.75,     22650.05,     22480.65,     22606.50,0.00,0,Y, ,0,     22650.05,     17269.50
Y, , ,NIFTY SMLCAP 50,      8706.55,      8711.45,      8792.00,      8683.90,      8774.90,0.00,0,Y, ,0,      9282.70,      6776.05
Y, , ,NIFTY SMLCAP 250,     16791.50,     16790.15,     16842.40,     16746.20,     16816.00,0.00,0,Y, ,0,     18077.35,     13314.70
Y, , ,NIFTY MIDSML 400,     20401.25,     20405.55,     20505.05,     20365.45,     20468.60,0.00,0,Y, ,0,     20668.15,     15832.85
Y, , ,NIFTY200 QUALTY30,     21531.70,     21538.30,     21714.70,     21513.85,     21687.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     30732.60,     30673.60,     30719.00,     30558.00,     30658.80,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     27526.55,     27540.85,     27596.35,     27423.40,     27486.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     31760.55,     31764.00,     31783.55,     31530.30,     31596.80,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      4392.90,      4389.55,      4399.55,      4378.65,      4389.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      5256.90,      5255.00,      5269.85,      5244.30,      5260.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     24122.50,     24105.95,     24321.35,     24060.75,     24271.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15670.65,     15671.05,     15729.60,     15595.10,     15665.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     25560.70,     25567.45,     25592.30,     25450.85,     25527.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     62621.30,     62694.05,     62884.40,     62484.80,     62777.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,     10059.35,     10059.35,     10100.55,      9860.80,     10078.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     37977.40,     37951.30,     38736.80,     37940.85,     38688.80,0.00,0,Y, ,0,     44798.65,     30918.95
Y, , ,Nifty Next 50,     70602.10,     70681.90,     70833.65,     70404.35,     70690.60,0.00,0,Y, ,0,     70833.65,     56192.45
Y, , ,Nifty Bank,     60118.40,     60039.70,     60065.40,     59760.65,     59990.85,0.00,0,Y, ,0,     60437.35,     47702.90
Y, , ,NIFTY MIDCAP 100,     61148.55,     61178.55,     61548.85,     61082.70,     61424.70,0.00,0,Y, ,0,     61548.85,     46865.70
Y, , ,Nifty 500,     24010.50,     23995.85,     24050.55,     23942.25,     24016.60,0.00,0,Y, ,0,     24144.20,     19519.85
Y, , ,Nifty 100,     26808.75,     26783.30,     26828.95,     26702.80,     26781.80,0.00,0,Y, ,0,     26975.15,     22177.35
Y, , ,Nifty Midcap 50,     17471.35,     17480.25,     17572.45,     17443.55,     17534.35,0.00,0,Y, ,0,     17572.45,     13269.65
Y, , ,Nifty Realty,       914.35,       914.05,       917.55,       903.45,       909.80,0.00,0,Y, ,0,      1049.70,       765.80
Y, , ,Nifty Infra,      9611.60,      9594.05,      9616.55,      9537.15,      9563.20,0.00,0,Y, ,0,      9792.60,      7589.95
Y, , ,Nifty Energy,     35849.15,     35801.15,     35872.95,     35630.40,     35763.50,0.00,0,Y, ,0,     36938.90,     29313.20
Y, , ,Nifty FMCG,     53561.95,     53636.20,     53782.60,     53319.60,     53493.80,0.00,0,Y, ,0,     59302.55,     50199.35
Y, , ,Nifty MNC,     31048.35,     31037.35,     31140.00,     30896.35,     31015.30,0.00,0,Y, ,0,     31140.00,     23981.05
Y, , ,Nifty Pharma,     23126.85,     23117.05,     23492.55,     23021.80,     23286.25,0.00,0,Y, ,0,     23492.55,     19121.10
Y, , ,Nifty PSE,     10095.85,     10085.30,     10101.50,     10028.15,     10081.30,0.00,0,Y, ,0,     10225.55,      7956.45
Y, , ,Nifty PSU Bank,      8790.95,      8803.75,      8825.00,      8718.35,      8767.65,0.00,0,Y, ,0,      8856.85,      5530.35
Y, , ,Nifty Serv Sector,     33878.50,     33796.15,     33891.35,     33735.10,     33860.55,0.00,0,Y, ,0,     34216.65,     29070.85
Y, , ,Nifty Auto,     28922.35,     28919.95,     28938.65,     28501.10,     28692.40,0.00,0,Y, ,0,     29179.10,     19316.65
Y, , ,Nifty Metal,     11524.05,     11567.15,     11612.25,     11492.15,     11524.00,0.00,0,Y, ,0,     11652.70,      7690.20
Y, , ,Nifty Media,      1456.60,      1455.55,      1460.20,      1445.00,      1457.55,0.00,0,Y, ,0,      1809.75,      1344.40
Y, , ,NIFTY SMLCAP 100,     17887.85,     17891.95,     17993.70,     17840.30,     17958.50,0.00,0,Y, ,0,     19224.95,     14084.30
Y, , ,Nifty 200,     14615.75,     14605.75,     14638.40,     14571.00,     14615.85,0.00,0,Y, ,0,     14700.95,     11941.45
Y, , ,Nifty Div Opps 50,      6397.35,      6400.05,      6419.35,      6388.25,      6409.95,0.00,0,Y, ,0,      6429.55,      5288.60
Y, , ,Nifty Commodities,      9700.20,      9708.20,      9714.80,      9645.60,      9669.70,0.00,0,Y, ,0,      9786.80,      7502.95
Y, , ,Nifty Consumption,     12274.65,     12284.75,     12306.55,     12206.25,     12249.90,0.00,0,Y, ,0,     12716.20,     10090.65
Y, , ,Nifty Fin Service,     27945.10,     27891.85,     27895.95,     27766.70,     27853.35,0.00,0,Y, ,0,     28065.50,     22320.85
Y, , ,Nifty50 Div Point,       249.14,       249.14,       249.14,       249.14,       249.14,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Liq 15,      7563.10,      7553.20,      7560.65,      7479.85,      7507.65,0.00,0,Y, ,0,      7683.60,      5985.30
Y, , ,Nifty CPSE,      6599.70,      6585.25,      6589.25,      6537.90,      6572.00,0.00,0,Y, ,0,      6681.80,      5284.25
Y, , ,Nifty GrowSect 15,     12751.10,     12766.80,     12852.45,     12742.10,     12791.70,0.00,0,Y, ,0,     12852.45,      9722.65
Y, , ,Nifty50 PR 2x Lev,     14741.90,     14699.75,     14749.10,     14615.45,     14697.05,0.00,0,Y, ,0,     14993.40,     10678.25
Y, , ,Nifty50 PR 1x Inv,       199.80,       200.10,       200.70,       199.80,       200.15,0.00,0,Y, ,0,       232.40,       197.80
Y, , ,Nifty50 TR 2x Lev,     22059.15,     21996.05,     22069.95,     21869.95,     21992.05,0.00,0,Y, ,0,     22435.45,     15663.75
Y, , ,Nifty50 TR 1x Inv,       163.50,       163.75,       164.20,       163.45,       163.75,0.00,0,Y, ,0,       192.05,       161.80
Y, , ,Nifty50 Value 20,     13373.45,     13367.25,     13408.45,     13338.30,     13397.40,0.00,0,Y, ,0,     13477.90,     11375.50
Y, , ,Nifty Mid Liq 15,     16120.90,     16137.70,     16260.40,     16090.10,     16227.45,0.00,0,Y, ,0,     16755.80,     11541.70
Y, , ,Nifty Pvt Bank,     28879.80,     28840.35,     28898.85,     28731.60,     28880.85,0.00,0,Y, ,0,     29059.00,     23508.05
Y, , ,NIFTY100 Qualty30,      5945.90,      5947.95,      5975.15,      5941.70,      5969.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 8 13Yr,      2970.85,      2971.39,      2971.47,      2966.35,      2969.79,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 10Yr,      2613.16,      2613.63,      2615.12,      2610.19,      2613.04,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 10Yr Cln,       890.92,       890.92,       891.43,       889.72,       890.71,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 4 8Yr,      3224.56,      3225.13,      3225.13,      3220.79,      3223.98,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 11 15Yr,      3230.70,      3231.32,      3233.79,      3227.09,      3231.53,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 15YrPlus,      3474.49,      3475.19,      3477.40,      3466.90,      3475.81,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS Compsite,      3049.75,      3050.32,      3051.09,      3045.59,      3049.60,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY HEALTHCARE,     14950.25,     14947.65,     15144.95,     14884.70,     15015.40,0.00,0,Y, ,0,     15144.95,      6482.80
Y, , ,NIFTY CONSR DURBL,     37699.00,     38021.70,     38455.85,     37896.05,     38337.95,0.00,0,Y, ,0,     44426.55,     14089.55
Y, , ,NIFTY OIL AND GAS,     12000.60,     11995.00,     12023.10,     11901.00,     11920.90,0.00,0,Y, ,0,     13607.20,      4632.70
Y, , ,NIFTY500 MULTICAP,     16591.60,     16584.95,     16626.70,     16553.70,     16607.10,0.00,0,Y, ,0,     17112.15,      5531.55
Y, , ,NIFTY LARGEMID250,     16981.05,     16976.10,     17029.00,     16950.30,     17008.85,0.00,0,Y, ,0,     17095.20,      5635.20
Y, , ,NIFTY MID SELECT,     13957.10,     13963.45,     14080.25,     13927.55,     14053.40,0.00,0,Y, ,0,     14118.40,      5520.25
Y, , ,NIFTY TOTAL MKT,     13472.45,     13464.20,     13494.45,     13434.10,     13475.85,0.00,0,Y, ,0,     13842.60,      6252.10
Y, , ,NIFTY MICROCAP250,     22707.10,     22692.45,     22749.95,     22631.10,     22712.40,0.00,0,Y, ,0,     26476.90,      5802.95
Y, , ,NIFTY IND DIGITAL,      9401.40,      9392.55,      9519.70,      9391.15,      9497.00,0.00,0,Y, ,0,     10152.15,      4755.25
Y, , ,Nifty Tata 25 Cap,     15462.35,     15511.95,     15588.85,     15473.45,     15574.55,0.00,0,Y, ,0,     18764.95,      9887.45
Y, , ,Nifty MidSml Hlth,     44626.15,     44730.75,     45361.15,     44573.25,     45154.10,0.00,0,Y, ,0,     46103.35,     20019.15
Y, , ,Nifty Multi Mfg,     16162.50,     16172.45,     16242.60,     16102.25,     16168.40,0.00,0,Y, ,0,     16323.15,      8394.35
Y, , ,Nifty Multi Infra,     14518.85,     14500.70,     14524.35,     14419.05,     14464.20,0.00,0,Y, ,0,     15154.10,      8010.10
Y, , ,BHARATBOND-APR30,      1564.20,      1564.51,      1564.51,      1564.49,      1564.51,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,BHARATBOND-APR31,      1423.40,      1423.66,      1423.67,      1423.65,      1423.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,BHARATBOND-APR32,      1296.19,      1296.44,      1296.44,      1296.43,      1296.43,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,BHARATBOND-APR33,      1258.39,      1258.64,      1258.64,      1258.63,      1258.63,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Ind Defence,      7922.25,      7911.20,      7995.50,      7865.20,      7973.95,0.00,0,Y, ,0,      9195.15,      3374.95
Y, , ,Nifty Ind Tourism,      8461.30,      8437.55,      8454.50,      8353.00,      8402.65,0.00,0,Y, ,0,      9497.20,      6058.05
Y, , ,Nifty Capital Mkt,      4707.85,      4707.10,      4771.75,      4680.10,      4763.25,0.00,0,Y, ,0,      4852.85,      2009.60
Y, , ,Nifty500Momentm50,     53484.90,     53494.90,     53528.30,     53182.90,     53324.95,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyMS400 MQ 100,     47966.30,     47991.60,     48408.15,     47864.30,     48330.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftySml250MQ 100,     44348.10,     44357.20,     44671.85,     44240.15,     44597.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Top 10 EW,      9897.05,      9875.20,      9920.60,      9868.35,      9913.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty AQL 30,     23172.95,     23172.50,     23246.85,     23122.75,     23181.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty AQLV 30,     21595.85,     21581.30,     21660.40,     21528.50,     21592.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty EV,      3184.25,      3182.70,      3204.50,      3177.85,      3198.45,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty HighBeta 50,      4033.40,      4035.60,      4060.65,      4026.95,      4051.60,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty New Consump,     11950.40,     11959.90,     11988.20,     11894.85,     11952.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Corp MAATR,     39316.70,     39407.85,     39443.60,     39160.20,     39282.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Low Vol 50,     25973.70,     25991.10,     26063.60,     25932.75,     25991.45,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Mobility,     23325.15,     23307.75,     23342.95,     23132.40,     23240.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Qlty LV 30,     17849.90,     17837.05,     17900.10,     17789.20,     17843.00,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Sml250 Q50,     25794.60,     25755.25,     25927.75,     25677.20,     25882.20,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Top 15 EW,     11040.45,     11021.65,     11034.95,     10961.15,     11000.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Alpha 30,     18372.20,     18372.05,     18386.55,     18230.70,     18297.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Enh ESG,      5303.35,      5301.25,      5316.40,      5290.60,      5307.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Value 30,     15033.85,     15039.50,     15050.10,     14919.80,     14969.00,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty500 EW,     14375.60,     14374.05,     14415.90,     14344.00,     14394.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Multi MQ 50,     41660.80,     41679.20,     41900.20,     41606.00,     41821.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty500 Value 50,     15886.80,     15903.05,     15909.85,     15782.15,     15827.95,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Top 20 EW,      9698.45,      9693.60,      9720.25,      9667.30,      9702.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty CoreHousing,     15961.95,     15959.45,     15985.35,     15860.00,     15926.45,0.00,0,Y, ,0,     17961.70,     13680.90
Y, , ,Nifty FinSerExBnk,     32473.60,     32433.65,     32499.40,     32295.35,     32415.25,0.00,0,Y, ,0,     32654.20,     21702.40
Y, , ,Nifty Housing,     12050.60,     12028.90,     12043.40,     11975.05,     12020.85,0.00,0,Y, ,0,     12386.30,      9839.70
Y, , ,Nifty IPO,      2039.40,      2039.40,      2048.20,      2032.30,      2046.05,0.00,0,Y, ,0,      2387.55,      1617.15
Y, , ,Nifty MS Fin Serv,     21057.55,     21080.10,     21165.70,     21010.55,     21121.50,0.00,0,Y, ,0,     21171.00,     12407.95
Y, , ,Nifty MS Ind Cons,     19220.65,     19242.45,     19302.95,     19175.60,     19250.50,0.00,0,Y, ,0,     20923.30,     14493.40
Y, , ,Nifty MS IT Telcm,     10175.85,     10168.55,     10442.45,     10152.20,     10417.35,0.00,0,Y, ,0,     11723.20,      7836.00
Y, , ,Nifty NonCyc Cons,     15854.15,     15877.80,     15944.50,     15848.00,     15882.75,0.00,0,Y, ,0,     18289.65,     13081.55
