TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-01-02,2017-01-25,COALINDIA,FUTSTK,296.35,298.9,295.0,297.55,8887600.0,824285375.0,2774400.0,1632.0,1528.0,8887600.0
2017-01-02,2017-02-23,COALINDIA,FUTSTK,294.5,295.75,293.0,293.8,642600.0,38486385.0,130900.0,77.0,75.0,642600.0
2017-01-02,2017-03-30,COALINDIA,FUTSTK,289.95,290.0,285.5,287.8,175100.0,25886240.0,90100.0,53.0,53.0,175100.0
2017-01-03,2017-01-25,COALINDIA,FUTSTK,298.4,301.85,297.0,300.25,8824700.0,1107707250.0,3692400.0,2172.0,2041.0,8824700.0
2017-01-03,2017-02-23,COALINDIA,FUTSTK,294.55,297.65,293.75,296.1,686800.0,77399895.0,261800.0,154.0,149.0,686800.0
2017-01-03,2017-03-30,COALINDIA,FUTSTK,289.2,291.25,287.0,290.1,226100.0,22168340.0,76500.0,45.0,45.0,226100.0
2017-01-04,2017-01-25,COALINDIA,FUTSTK,301.1,304.85,300.0,300.8,8636000.0,1138093390.0,3762100.0,2213.0,2044.0,8636000.0
2017-01-04,2017-02-23,COALINDIA,FUTSTK,298.0,300.0,295.55,296.25,737800.0,107966150.0,362100.0,213.0,204.0,737800.0
2017-01-04,2017-03-30,COALINDIA,FUTSTK,292.95,295.0,291.75,292.8,408000.0,70923745.0,241400.0,142.0,136.0,408000.0
2017-01-05,2017-01-25,COALINDIA,FUTSTK,301.05,307.1,301.05,305.1,8151500.0,1208747260.0,3967800.0,2334.0,2170.0,8151500.0
2017-01-05,2017-02-23,COALINDIA,FUTSTK,297.25,301.8,297.1,300.1,754800.0,72459440.0,241400.0,142.0,123.0,754800.0
2017-01-05,2017-03-30,COALINDIA,FUTSTK,294.0,298.5,293.05,296.55,538900.0,55395605.0,187000.0,110.0,103.0,538900.0
2017-01-06,2017-01-25,COALINDIA,FUTSTK,305.1,308.7,303.65,304.75,7893100.0,935181475.0,3053200.0,1796.0,1716.0,7893100.0
2017-01-06,2017-02-23,COALINDIA,FUTSTK,300.25,302.4,298.0,298.95,807500.0,43901820.0,146200.0,86.0,84.0,807500.0
2017-01-06,2017-03-30,COALINDIA,FUTSTK,298.0,298.95,294.9,295.65,554200.0,11584310.0,39100.0,23.0,22.0,554200.0
2017-01-09,2017-01-25,COALINDIA,FUTSTK,305.05,305.25,296.8,297.55,9015100.0,1335233635.0,4460800.0,2624.0,2424.0,9015100.0
2017-01-09,2017-02-23,COALINDIA,FUTSTK,297.0,297.95,291.05,291.5,1072700.0,148720590.0,506600.0,298.0,287.0,1072700.0
2017-01-09,2017-03-30,COALINDIA,FUTSTK,295.0,295.0,287.2,287.55,1004700.0,151384660.0,523600.0,308.0,203.0,1004700.0
2017-01-10,2017-01-25,COALINDIA,FUTSTK,297.25,299.9,295.65,297.45,9297300.0,1137125495.0,3821600.0,2248.0,2142.0,9297300.0
2017-01-10,2017-02-23,COALINDIA,FUTSTK,291.9,293.4,289.05,291.6,1135600.0,68353430.0,234600.0,138.0,130.0,1135600.0
2017-01-10,2017-03-30,COALINDIA,FUTSTK,287.5,288.45,286.0,287.85,1020000.0,6346100.0,22100.0,13.0,13.0,1020000.0
2017-01-11,2017-01-25,COALINDIA,FUTSTK,299.95,313.35,298.55,312.2,8964100.0,3582475110.0,11597400.0,6822.0,6312.0,8964100.0
2017-01-11,2017-02-23,COALINDIA,FUTSTK,293.0,305.35,293.0,304.45,1101600.0,136600865.0,453900.0,267.0,267.0,1101600.0
2017-01-11,2017-03-30,COALINDIA,FUTSTK,287.7,300.85,287.7,299.65,948600.0,49690915.0,168300.0,99.0,99.0,948600.0
2017-01-12,2017-01-25,COALINDIA,FUTSTK,313.25,313.3,305.55,308.85,9095000.0,1826915965.0,5931300.0,3489.0,3281.0,9095000.0
2017-01-12,2017-02-23,COALINDIA,FUTSTK,305.0,305.0,298.7,301.5,1200200.0,86903830.0,289000.0,170.0,168.0,1200200.0
2017-01-12,2017-03-30,COALINDIA,FUTSTK,296.5,297.0,294.25,296.65,958800.0,9556295.0,32300.0,19.0,19.0,958800.0
2017-01-13,2017-01-25,COALINDIA,FUTSTK,310.35,314.6,309.65,311.65,9695100.0,2160873825.0,6936000.0,4080.0,3764.0,9695100.0
