TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE
2017-01-02,FUTIDX,NIFTYCPSE,25/01/2017,2330.0,2345.0,2330.0,2345.0,11500.0,9345800.0,4000.0,16.0,16.0
2017-01-03,FUTIDX,NIFTYCPSE,25/01/2017,2347.5,2420.9,2347.5,2385.15,11750.0,20211575.0,8500.0,34.0,28.0
2017-01-04,FUTIDX,NIFTYCPSE,25/01/2017,2385.0,2404.05,2380.05,2386.35,7750.0,16125850.0,6750.0,27.0,16.0
2017-01-05,FUTIDX,NIFTYCPSE,25/01/2017,2400.0,2437.95,2400.0,2431.65,4750.0,13932675.0,5750.0,23.0,23.0
2017-01-06,FUTIDX,NIFTYCPSE,25/01/2017,2450.0,2460.0,2433.0,2437.35,5500.0,9193625.0,3750.0,15.0,13.0
2017-01-09,FUTIDX,NIFTYCPSE,25/01/2017,2544.0,2544.0,2406.1,2413.0,9750.0,25576037.5,10500.0,42.0,31.0
2017-01-10,FUTIDX,NIFTYCPSE,25/01/2017,2434.1,2447.6,2415.0,2419.0,9750.0,10322725.0,4250.0,17.0,13.0
2017-01-11,FUTIDX,NIFTYCPSE,25/01/2017,2432.5,2460.45,2432.5,2459.8,8500.0,15906625.0,6500.0,26.0,25.0
2017-01-12,FUTIDX,NIFTYCPSE,25/01/2017,2474.3,2479.0,2469.05,2476.9,18500.0,50098787.5,20250.0,81.0,49.0
2017-01-12,FUTIDX,NIFTYCPSE,23/02/2017,2449.1,2449.1,2449.0,2449.0,500.0,1224525.0,500.0,2.0,2.0
2017-01-13,FUTIDX,NIFTYCPSE,25/01/2017,2485.0,2496.9,2480.1,2486.0,26250.0,46650012.5,18750.0,75.0,51.0
2017-01-13,FUTIDX,NIFTYCPSE,23/02/2017,2460.0,2480.0,2445.0,2445.0,7000.0,16005525.0,6500.0,26.0,26.0
2017-01-16,FUTIDX,NIFTYCPSE,25/01/2017,2544.0,2544.0,2484.0,2488.05,32000.0,25525562.5,10250.0,41.0,31.0
2017-01-16,FUTIDX,NIFTYCPSE,23/02/2017,2454.9,2454.9,2442.7,2442.7,7500.0,1835237.5,750.0,3.0,3.0
2017-01-17,FUTIDX,NIFTYCPSE,25/01/2017,2492.0,2492.0,2454.0,2459.5,38000.0,65179650.0,26500.0,106.0,46.0
2017-01-17,FUTIDX,NIFTYCPSE,23/02/2017,2420.0,2420.05,2415.0,2415.0,9000.0,4233762.5,1750.0,7.0,5.0
2017-01-18,FUTIDX,NIFTYCPSE,25/01/2017,2460.0,2469.95,2441.0,2458.25,30250.0,67513387.5,27500.0,110.0,80.0
2017-01-18,FUTIDX,NIFTYCPSE,23/02/2017,2400.05,2410.0,2398.05,2410.0,10750.0,10208900.0,4250.0,17.0,13.0
