TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-01-02,,AARTIIND,2017-01-25,681.0,697.95,672.65,695.25,,0.0,0.0,0.0,,0.0
2017-01-02,,AARTIIND,2017-02-23,681.0,697.95,672.65,695.25,,0.0,0.0,0.0,,0.0
2017-01-02,,AARTIIND,2017-03-30,681.0,697.95,672.65,695.25,,0.0,0.0,0.0,,0.0
2017-01-03,,AARTIIND,2017-01-25,699.0,710.0,683.65,703.4,,0.0,0.0,0.0,,0.0
2017-01-03,,AARTIIND,2017-02-23,699.0,710.0,683.65,703.4,,0.0,0.0,0.0,,0.0
2017-01-03,,AARTIIND,2017-03-30,699.0,710.0,683.65,703.4,,0.0,0.0,0.0,,0.0
2017-01-04,,AARTIIND,2017-01-25,706.6,711.35,683.0,698.0,,0.0,0.0,0.0,,0.0
2017-01-04,,AARTIIND,2017-02-23,706.6,711.35,683.0,698.0,,0.0,0.0,0.0,,0.0
2017-01-04,,AARTIIND,2017-03-30,706.6,711.35,683.0,698.0,,0.0,0.0,0.0,,0.0
2017-01-05,,AARTIIND,2017-01-25,705.0,709.9,699.1,701.35,,0.0,0.0,0.0,,0.0
2017-01-05,,AARTIIND,2017-02-23,705.0,709.9,699.1,701.35,,0.0,0.0,0.0,,0.0
2017-01-05,,AARTIIND,2017-03-30,705.0,709.9,699.1,701.35,,0.0,0.0,0.0,,0.0
2017-01-06,,AARTIIND,2017-01-25,704.0,709.85,698.0,699.75,,0.0,0.0,0.0,,0.0
2017-01-06,,AARTIIND,2017-02-23,704.0,709.85,698.0,699.75,,0.0,0.0,0.0,,0.0
2017-01-06,,AARTIIND,2017-03-30,704.0,709.85,698.0,699.75,,0.0,0.0,0.0,,0.0
2017-01-09,,AARTIIND,2017-01-25,703.45,704.0,696.0,698.95,,0.0,0.0,0.0,,0.0
2017-01-09,,AARTIIND,2017-02-23,703.45,704.0,696.0,698.95,,0.0,0.0,0.0,,0.0
2017-01-09,,AARTIIND,2017-03-30,703.45,704.0,696.0,698.95,,0.0,0.0,0.0,,0.0
2017-01-10,,AARTIIND,2017-01-25,700.0,704.5,696.0,697.85,,0.0,0.0,0.0,,0.0
2017-01-10,,AARTIIND,2017-02-23,700.0,704.5,696.0,697.85,,0.0,0.0,0.0,,0.0
2017-01-10,,AARTIIND,2017-03-30,700.0,704.5,696.0,697.85,,0.0,0.0,0.0,,0.0
2017-01-11,,AARTIIND,2017-01-25,701.0,702.7,693.5,701.15,,0.0,0.0,0.0,,0.0
2017-01-11,,AARTIIND,2017-02-23,701.0,702.7,693.5,701.15,,0.0,0.0,0.0,,0.0
2017-01-11,,AARTIIND,2017-03-30,701.0,702.7,693.5,701.15,,0.0,0.0,0.0,,0.0
2017-01-12,,AARTIIND,2017-01-25,703.0,703.9,698.15,699.55,,0.0,0.0,0.0,,0.0
2017-01-12,,AARTIIND,2017-02-23,703.0,703.9,698.15,699.55,,0.0,0.0,0.0,,0.0
2017-01-12,,AARTIIND,2017-03-30,703.0,703.9,698.15,699.55,,0.0,0.0,0.0,,0.0
2017-01-13,,AARTIIND,2017-01-25,710.0,710.0,696.25,702.4,,0.0,0.0,0.0,,0.0
2017-01-13,,AARTIIND,2017-02-23,710.0,710.0,696.25,702.4,,0.0,0.0,0.0,,0.0
2017-01-13,,AARTIIND,2017-03-30,710.0,710.0,696.25,702.4,,0.0,0.0,0.0,,0.0
2017-01-16,,AARTIIND,2017-01-25,703.9,710.0,700.05,707.1,,0.0,0.0,0.0,,0.0
2017-01-16,,AARTIIND,2017-02-23,703.9,710.0,700.05,707.1,,0.0,0.0,0.0,,0.0
2017-01-16,,AARTIIND,2017-03-30,703.9,710.0,700.05,707.1,,0.0,0.0,0.0,,0.0
2017-01-17,,AARTIIND,2017-01-25,707.1,709.0,704.25,706.75,,0.0,0.0,0.0,,0.0
2017-01-17,,AARTIIND,2017-02-23,707.1,709.0,704.25,706.75,,0.0,0.0,0.0,,0.0
2017-01-17,,AARTIIND,2017-03-30,707.1,709.0,704.25,706.75,,0.0,0.0,0.0,,0.0
2017-01-18,,AARTIIND,2017-01-25,710.0,721.55,705.0,710.45,,0.0,0.0,0.0,,0.0
2017-01-18,,AARTIIND,2017-02-23,710.0,721.55,705.0,710.45,,0.0,0.0,0.0,,0.0
2017-01-18,,AARTIIND,2017-03-30,710.0,721.55,705.0,710.45,,0.0,0.0,0.0,,0.0
2017-01-19,,AARTIIND,2017-01-25,710.45,719.4,700.1,704.45,,0.0,0.0,0.0,,0.0
2017-01-19,,AARTIIND,2017-02-23,710.45,719.4,700.1,704.45,,0.0,0.0,0.0,,0.0
2017-01-19,,AARTIIND,2017-03-30,710.45,719.4,700.1,704.45,,0.0,0.0,0.0,,0.0
2017-01-20,,AARTIIND,2017-01-25,710.0,710.0,685.0,688.95,,0.0,0.0,0.0,,0.0
2017-01-20,,AARTIIND,2017-02-23,710.0,710.0,685.0,688.95,,0.0,0.0,0.0,,0.0
2017-01-20,,AARTIIND,2017-03-30,710.0,710.0,685.0,688.95,,0.0,0.0,0.0,,0.0
2017-01-23,,AARTIIND,2017-01-25,692.0,706.75,673.15,693.55,,0.0,0.0,0.0,,0.0
2017-01-23,,AARTIIND,2017-02-23,692.0,706.75,673.15,693.55,,0.0,0.0,0.0,,0.0
2017-01-23,,AARTIIND,2017-03-30,692.0,706.75,673.15,693.55,,0.0,0.0,0.0,,0.0
