TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE
2017-01-02,,MCX,2017-01-25,254.0,254.85,246.6,250.1,0.0,0.0,0.0,0.0,
2017-01-02,,MCX,2017-02-23,254.0,254.85,246.6,250.1,0.0,0.0,0.0,0.0,
2017-01-02,,MCX,2017-03-30,254.0,254.85,246.6,250.1,0.0,0.0,0.0,0.0,
2017-01-03,,MCX,2017-01-25,251.0,254.8,249.1,250.15,0.0,0.0,0.0,0.0,
2017-01-03,,MCX,2017-02-23,251.0,254.8,249.1,250.15,0.0,0.0,0.0,0.0,
2017-01-03,,MCX,2017-03-30,251.0,254.8,249.1,250.15,0.0,0.0,0.0,0.0,
2017-01-04,,MCX,2017-01-25,250.8,260.4,249.6,256.15,0.0,0.0,0.0,0.0,
2017-01-04,,MCX,2017-02-23,250.8,260.4,249.6,256.15,0.0,0.0,0.0,0.0,
2017-01-04,,MCX,2017-03-30,250.8,260.4,249.6,256.15,0.0,0.0,0.0,0.0,
2017-01-05,,MCX,2017-01-25,258.0,261.0,253.15,254.25,0.0,0.0,0.0,0.0,
2017-01-05,,MCX,2017-02-23,258.0,261.0,253.15,254.25,0.0,0.0,0.0,0.0,
2017-01-05,,MCX,2017-03-30,258.0,261.0,253.15,254.25,0.0,0.0,0.0,0.0,
2017-01-06,,MCX,2017-03-30,255.8,255.8,249.4,250.65,0.0,0.0,0.0,0.0,
2017-01-06,,MCX,2017-01-25,255.8,255.8,249.4,250.65,0.0,0.0,0.0,0.0,
2017-01-06,,MCX,2017-02-23,255.8,255.8,249.4,250.65,0.0,0.0,0.0,0.0,
2017-01-09,,MCX,2017-01-25,252.2,252.4,248.6,249.55,0.0,0.0,0.0,0.0,
2017-01-09,,MCX,2017-02-23,252.2,252.4,248.6,249.55,0.0,0.0,0.0,0.0,
2017-01-09,,MCX,2017-03-30,252.2,252.4,248.6,249.55,0.0,0.0,0.0,0.0,
2017-01-10,,MCX,2017-01-25,250.9,251.2,248.0,248.65,0.0,0.0,0.0,0.0,
2017-01-10,,MCX,2017-02-23,250.9,251.2,248.0,248.65,0.0,0.0,0.0,0.0,
2017-01-10,,MCX,2017-03-30,250.9,251.2,248.0,248.65,0.0,0.0,0.0,0.0,
2017-01-11,,MCX,2017-03-30,249.0,250.55,246.65,248.05,0.0,0.0,0.0,0.0,
2017-01-11,,MCX,2017-01-25,249.0,250.55,246.65,248.05,0.0,0.0,0.0,0.0,
2017-01-11,,MCX,2017-02-23,249.0,250.55,246.65,248.05,0.0,0.0,0.0,0.0,
2017-01-12,,MCX,2017-03-30,248.75,249.6,244.05,244.55,0.0,0.0,0.0,0.0,
2017-01-12,,MCX,2017-02-23,248.75,249.6,244.05,244.55,0.0,0.0,0.0,0.0,
2017-01-12,,MCX,2017-01-25,248.75,249.6,244.05,244.55,0.0,0.0,0.0,0.0,
2017-01-13,,MCX,2017-01-25,246.15,248.6,236.8,240.3,0.0,0.0,0.0,0.0,
2017-01-13,,MCX,2017-02-23,246.15,248.6,236.8,240.3,0.0,0.0,0.0,0.0,
2017-01-13,,MCX,2017-03-30,246.15,248.6,236.8,240.3,0.0,0.0,0.0,0.0,
2017-01-16,,MCX,2017-01-25,243.8,244.0,236.05,237.4,0.0,0.0,0.0,0.0,
2017-01-16,,MCX,2017-02-23,243.8,244.0,236.05,237.4,0.0,0.0,0.0,0.0,
2017-01-16,,MCX,2017-03-30,243.8,244.0,236.05,237.4,0.0,0.0,0.0,0.0,
2017-01-17,,MCX,2017-01-25,237.2,238.0,229.2,235.85,0.0,0.0,0.0,0.0,
2017-01-17,,MCX,2017-02-23,237.2,238.0,229.2,235.85,0.0,0.0,0.0,0.0,
2017-01-17,,MCX,2017-03-30,237.2,238.0,229.2,235.85,0.0,0.0,0.0,0.0,
2017-01-18,,MCX,2017-02-23,236.8,243.95,236.8,241.7,0.0,0.0,0.0,0.0,
2017-01-18,,MCX,2017-03-30,236.8,243.95,236.8,241.7,0.0,0.0,0.0,0.0,
2017-01-18,,MCX,2017-01-25,236.8,243.95,236.8,241.7,0.0,0.0,0.0,0.0,
2017-01-19,,MCX,2017-01-25,241.6,245.0,240.0,241.6,0.0,0.0,0.0,0.0,
2017-01-19,,MCX,2017-02-23,241.6,245.0,240.0,241.6,0.0,0.0,0.0,0.0,
2017-01-19,,MCX,2017-03-30,241.6,245.0,240.0,241.6,0.0,0.0,0.0,0.0,
2017-01-20,,MCX,2017-01-25,245.15,246.8,237.2,238.9,0.0,0.0,0.0,0.0,
2017-01-20,,MCX,2017-02-23,245.15,246.8,237.2,238.9,0.0,0.0,0.0,0.0,
2017-01-20,,MCX,2017-03-30,245.15,246.8,237.2,238.9,0.0,0.0,0.0,0.0,
2017-01-23,,MCX,2017-01-25,238.05,241.95,237.0,237.7,0.0,0.0,0.0,0.0,
2017-01-23,,MCX,2017-02-23,238.05,241.95,237.0,237.7,0.0,0.0,0.0,0.0,
2017-01-23,,MCX,2017-03-30,238.05,241.95,237.0,237.7,0.0,0.0,0.0,0.0,
2017-01-24,,MCX,2017-03-30,238.05,238.2,234.4,235.75,0.0,0.0,0.0,0.0,
2017-01-24,,MCX,2017-01-25,238.05,238.2,234.4,235.75,0.0,0.0,0.0,0.0,
2017-01-24,,MCX,2017-02-23,238.05,238.2,234.4,235.75,0.0,0.0,0.0,0.0,
