TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-01-02,2017-01-25,TATACONSUM,FUTSTK,122.8,124.8,121.85,124.2,26568000.0,377077275.0,3055500.0,679.0,664.0,26568000.0
2017-01-02,2017-02-23,TATACONSUM,FUTSTK,123.05,123.8,122.65,123.8,135000.0,5542650.0,45000.0,10.0,10.0,135000.0
2017-01-02,2017-03-30,TATACONSUM,,122.8,124.2,121.35,123.55,0.0,0.0,0.0,0.0,,0.0
2017-01-03,2017-01-25,TATACONSUM,FUTSTK,124.7,125.7,123.75,124.85,26347500.0,319164300.0,2560500.0,569.0,535.0,26347500.0
2017-01-03,2017-02-23,TATACONSUM,FUTSTK,125.0,125.1,125.0,125.1,139500.0,1125450.0,9000.0,2.0,2.0,139500.0
2017-01-03,2017-03-30,TATACONSUM,,122.8,125.4,122.8,124.45,0.0,0.0,0.0,0.0,,0.0
2017-01-04,2017-01-25,TATACONSUM,FUTSTK,125.15,126.3,124.05,124.8,26302500.0,420050250.0,3357000.0,746.0,653.0,26302500.0
2017-01-04,2017-02-23,TATACONSUM,FUTSTK,126.05,126.1,125.2,125.2,139500.0,1698075.0,13500.0,3.0,3.0,139500.0
2017-01-04,2017-03-30,TATACONSUM,,125.0,126.05,123.8,124.45,0.0,0.0,0.0,0.0,,0.0
2017-01-05,2017-01-25,TATACONSUM,FUTSTK,125.2,126.15,125.0,125.65,26221500.0,336694050.0,2682000.0,596.0,570.0,26221500.0
2017-01-05,2017-02-23,TATACONSUM,FUTSTK,126.1,126.25,125.6,125.95,157500.0,9630675.0,76500.0,17.0,17.0,157500.0
2017-01-05,2017-03-30,TATACONSUM,,124.75,125.65,124.55,125.2,0.0,0.0,0.0,0.0,,0.0
2017-01-06,2017-01-25,TATACONSUM,FUTSTK,126.3,127.4,124.55,125.15,26658000.0,504482850.0,4000500.0,889.0,849.0,26658000.0
2017-01-06,2017-02-23,TATACONSUM,FUTSTK,127.5,127.5,125.6,125.6,157500.0,5117625.0,40500.0,9.0,8.0,157500.0
2017-01-06,2017-03-30,TATACONSUM,,125.4,126.95,124.05,124.65,0.0,0.0,0.0,0.0,,0.0
2017-01-09,2017-01-25,TATACONSUM,FUTSTK,124.95,125.75,124.3,125.0,26541000.0,181009125.0,1449000.0,322.0,308.0,26541000.0
2017-01-09,2017-02-23,TATACONSUM,FUTSTK,125.3,125.85,125.25,125.85,171000.0,3385350.0,27000.0,6.0,6.0,171000.0
2017-01-09,2017-03-30,TATACONSUM,,124.75,125.5,123.95,124.75,0.0,0.0,0.0,0.0,,0.0
2017-01-10,2017-01-25,TATACONSUM,FUTSTK,125.7,125.7,124.25,124.95,26563500.0,281293650.0,2254500.0,501.0,473.0,26563500.0
2017-01-10,2017-02-23,TATACONSUM,FUTSTK,125.35,125.35,124.9,125.3,220500.0,10141200.0,81000.0,18.0,18.0,220500.0
